State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
102 547.3495 0.0013451872 0.0051 0.0003 0.0086 0.025457 2.721978 3.600589 0.000481 0.0702
103 547.5497 0.0058766039 0.0090 0.0073 0.0174 0.053199 2.732469 3.662256 0.001598 0.0829
104 547.6317 0.0000000000 0.0000 0.0000 0.0000 0.000000 2.086189 23.622133 0.000000 0.0000
105 548.0171 0.0046526712 -0.0070 0.0014 -0.0172 0.047316 2.732343 3.471288 0.001020 0.0559
106 548.4170 0.0021231755 0.0063 0.0017 0.0108 0.031951 2.721391 3.697150 0.000762 0.0505
107 548.6788 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 2.783428 23.866388 0.000000 0.0000
108 548.8098 0.0016230903 0.0036 0.0059 0.0085 0.027926 2.670958 3.544457 0.000668 0.0593
109 548.8844 0.0000000000 -0.0000 0.0000 0.0000 0.000000 2.476445 24.161147 0.000000 0.0000
110 549.0971 0.0019101955 -0.0015 -0.0061 -0.0101 0.030288 2.801437 3.841324 0.001163 0.0663
111 549.2828 0.0017457308 -0.0040 -0.0019 0.0105 0.028950 2.817649 3.487086 0.000801 0.0501
112 549.7300 0.0000000000 0.0000 -0.0000 0.0000 0.000000 2.447254 24.260342 0.000000 0.0000
113 549.8144 0.0027052408 -0.0120 0.0054 -0.0052 0.036020 2.669494 3.368734 0.001489 0.0895
114 550.0273 0.0015702628 0.0010 0.0096 -0.0048 0.027438 2.756682 3.386569 0.000993 0.0645
115 550.5414 0.0081235816 -0.0202 0.0137 0.0019 0.062378 2.813645 3.191183 0.001043 0.0881
116 550.8088 0.0045339807 -0.0077 -0.0133 0.0100 0.046590 2.957367 3.633107 0.000399 0.0459
117 551.1355 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 2.215182 23.892966 0.000000 0.0000
118 551.4747 0.0095487482 -0.0108 0.0242 0.0020 0.067572 2.683152 3.073453 0.001090 0.0942
119 551.6172 0.0019758122 -0.0043 0.0102 0.0049 0.030733 2.793554 3.642458 0.000747 0.0736
120 552.1535 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 2.551798 23.875236 0.000000 0.0000
121 552.4374 0.0000000000 0.0000 -0.0000 -0.0000 0.000000 2.533897 23.986270 0.000000 0.0000
122 552.5270 0.0012869883 -0.0040 -0.0026 0.0085 0.024784 2.970618 3.988549 0.000313 0.0362
123 552.6670 0.0001851930 0.0000 -0.0029 0.0023 0.009400 2.761278 3.716187 0.000393 0.0544
124 553.2340 0.0019741910 0.0086 -0.0085 0.0001 0.030676 2.516652 3.287499 0.000871 0.0842
125 553.9757 0.0314089922 -0.0280 -0.0235 0.0313 0.122274 2.441594 2.647864 0.000488 0.0578
126 554.3617 0.0000000000 0.0000 -0.0000 0.0000 0.000000 1.839753 24.427171 0.000000 0.0000
127 554.4614 0.0017429567 -0.0106 -0.0038 -0.0009 0.028791 2.509016 3.409290 0.000391 0.0652
128 554.8521 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 1.839130 23.523292 0.000000 0.0000
129 554.8743 0.0066556713 -0.0212 0.0032 -0.0053 0.056241 2.306351 3.303063 0.001051 0.1001
130 556.0127 0.0025554539 -0.0056 -0.0084 0.0093 0.034813 2.716988 3.600858 0.000168 0.0526
131 556.3102 0.0006980392 0.0033 -0.0032 -0.0055 0.018190 2.522657 3.471283 0.000620 0.0502
132 556.4311 0.0000000000 -0.0000 0.0000 0.0000 0.000000 1.616321 24.436509 0.000000 0.0000
133 556.9484 0.0000507628 0.0014 0.0012 0.0007 0.004903 2.501667 3.511644 0.000804 0.0871
134 557.1180 0.0002090361 0.0028 0.0024 0.0012 0.009947 2.624252 3.584522 0.000368 0.0614
135 558.0092 0.0012308607 0.0060 0.0052 -0.0052 0.024118 2.510461 3.423093 0.000434 0.0518
136 558.1653 0.0025741522 -0.0006 0.0052 -0.0127 0.034873 2.494891 3.143167 0.000341 0.0665
137 558.7711 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 2.040290 24.313204 0.000000 0.0000
138 558.9308 0.0010019248 -0.0043 -0.0039 0.0062 0.021742 2.529246 3.197654 0.000607 0.0656
139 559.1417 0.0015326135 -0.0093 0.0046 0.0020 0.026885 2.651148 3.340563 0.000414 0.0739
140 559.3267 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 2.245228 23.705346 0.000000 0.0000
